County,Category,Score
Greene County,Health,46.5
Gwinnett County,Health,53.9
Habersham County,Health,47.3
Hall County,Health,47.7
Hancock County,Health,36.1
Haralson County,Health,45.8
Harris County,Health,64.0
Hart County,Health,48.3
Heard County,Health,38.6
Henry County,Health,53.6
Houston County,Health,55.3
Irwin County,Health,28.9
Jackson County,Health,57.4
Jasper County,Health,42.0
Jeff Davis County,Health,26.6
Jefferson County,Health,37.9
Jenkins County,Health,30.8
Johnson County,Health,39.1
Jones County,Health,54.6
Lamar County,Health,44.2
Lanier County,Health,36.7
Laurens County,Health,53.7
Lee County,Health,61.9
Liberty County,Health,50.0
Lincoln County,Health,48.6
Long County,Health,37.8
Lowndes County,Health,43.8
Lumpkin County,Health,53.0
Macon County,Health,16.8
Madison County,Health,35.0
Marion County,Health,38.9
McDuffie County,Health,42.8
McIntosh County,Health,44.7
Meriwether County,Health,38.7
Miller County,Health,28.6
Mitchell County,Health,27.1
Monroe County,Health,54.6
Montgomery County,Health,27.3
Morgan County,Health,55.2
Murray County,Health,32.6
Muscogee County,Health,62.0
Newton County,Health,42.7
Oconee County,Health,93.9
Oglethorpe County,Health,42.3
Paulding County,Health,44.9
Peach County,Health,37.8
Pickens County,Health,51.0
Pierce County,Health,31.4
Pike County,Health,41.7
Polk County,Health,33.3
Pulaski County,Health,59.6
Putnam County,Health,45.1
Quitman County,Health,3.1
Rabun County,Health,45.2
Randolph County,Health,42.1
Richmond County,Health,56.7
Rockdale County,Health,54.7
Schley County,Health,39.6
Screven County,Health,34.2
Seminole County,Health,57.8
Spalding County,Health,43.8
Stephens County,Health,45.5
Stewart County,Health,46.7
Sumter County,Health,52.1
Talbot County,Health,39.1
Taliaferro County,Health,36.0
Tattnall County,Health,37.8
Taylor County,Health,28.8
Telfair County,Health,51.5
Terrell County,Health,19.4
Thomas County,Health,59.4
Tift County,Health,47.4
Toombs County,Health,47.1
Towns County,Health,64.3
Treutlen County,Health,22.8
Troup County,Health,51.4
Turner County,Health,36.0
Twiggs County,Health,32.5
Union County,Health,65.3
Upson County,Health,44.3
Walker County,Health,36.3
Walton County,Health,48.7
Ware County,Health,46.1
Warren County,Health,49.9
Washington County,Health,55.4
Wayne County,Health,35.5
Webster County,Health,29.2
Wheeler County,Health,31.0
White County,Health,45.2
Whitfield County,Health,43.8
Wilcox County,Health,28.6
Wilkes County,Health,44.4
Wilkinson County,Health,41.0
Worth County,Health,31.5
Appling County,Opportunity,65.6
Atkinson County,Opportunity,58.8
Bacon County,Opportunity,64.3
Baker County,Opportunity,71.2
Baldwin County,Opportunity,60.2
Banks County,Opportunity,79.9
Barrow County,Opportunity,76.7
Bartow County,Opportunity,74.5
Ben Hill County,Opportunity,53.2
Berrien County,Opportunity,70.5
Bibb County,Opportunity,45.7
Bleckley County,Opportunity,78.9
Brantley County,Opportunity,58.9
Brooks County,Opportunity,54.7
Bryan County,Opportunity,80.5
Bulloch County,Opportunity,61.0
Burke County,Opportunity,70.5
Butts County,Opportunity,61.9
Calhoun County,Opportunity,58.7
Camden County,Opportunity,70.8
Candler County,Opportunity,57.5
Carroll County,Opportunity,74.9
Catoosa County,Opportunity,88.2
Charlton County,Opportunity,69.9
Chatham County,Opportunity,63.4
Chattahoochee County,Opportunity,60.3
Chattooga County,Opportunity,63.0
Cherokee County,Opportunity,84.7
Clarke County,Opportunity,41.0
Clay County,Opportunity,40.1
Clayton County,Opportunity,53.7
Clinch County,Opportunity,49.8
Cobb County,Opportunity,80.0
Coffee County,Opportunity,68.2
Colquitt County,Opportunity,64.3
Columbia County,Opportunity,94.3
Cook County,Opportunity,56.9
Coweta County,Opportunity,81.9
Crawford County,Opportunity,83.2
Crisp County,Opportunity,43.8
Dade County,Opportunity,86.1
Dawson County,Opportunity,88.0
DeKalb County,Opportunity,60.5
Decatur County,Opportunity,47.9
Dodge County,Opportunity,64.4
Dooly County,Opportunity,72.9
Dougherty County,Opportunity,41.1
Douglas County,Opportunity,74.3
Early County,Opportunity,49.6
Echols County,Opportunity,69.6
Effingham County,Opportunity,84.6
Elbert County,Opportunity,59.8
Emanuel County,Opportunity,57.8
Evans County,Opportunity,69.6
Fannin County,Opportunity,73.6
Fayette County,Opportunity,88.1
Floyd County,Opportunity,67.0
Forsyth County,Opportunity,95.0
Franklin County,Opportunity,72.2
Fulton County,Opportunity,64.4
Gilmer County,Opportunity,77.0
Glascock County,Opportunity,73.9
Glynn County,Opportunity,63.7
Gordon County,Opportunity,67.3
Grady County,Opportunity,66.3
Greene County,Opportunity,63.1
Gwinnett County,Opportunity,69.1
Habersham County,Opportunity,77.4
Hall County,Opportunity,72.7
Hancock County,Opportunity,18.6
Haralson County,Opportunity,75.1
Harris County,Opportunity,91.3
Hart County,Opportunity,74.4
Heard County,Opportunity,68.0
Henry County,Opportunity,75.1
Houston County,Opportunity,79.8
Irwin County,Opportunity,63.6
Jackson County,Opportunity,86.2
Jasper County,Opportunity,74.4
Jeff Davis County,Opportunity,74.3
Jefferson County,Opportunity,67.9
Jenkins County,Opportunity,32.8
Johnson County,Opportunity,69.3
Jones County,Opportunity,85.2
Lamar County,Opportunity,70.6
Lanier County,Opportunity,45.7
Laurens County,Opportunity,56.9
Lee County,Opportunity,85.3
Liberty County,Opportunity,63.2
Lincoln County,Opportunity,61.9
Long County,Opportunity,41.2
Lowndes County,Opportunity,56.6
Lumpkin County,Opportunity,72.6
Macon County,Opportunity,44.4
Madison County,Opportunity,74.1
Marion County,Opportunity,83.9
McDuffie County,Opportunity,63.1
McIntosh County,Opportunity,66.8
Meriwether County,Opportunity,57.5
Miller County,Opportunity,59.6
Mitchell County,Opportunity,52.0
Monroe County,Opportunity,69.8
Montgomery County,Opportunity,73.2
Morgan County,Opportunity,91.5
Murray County,Opportunity,82.1
Muscogee County,Opportunity,52.9
Newton County,Opportunity,65.1
Oconee County,Opportunity,94.6
Oglethorpe County,Opportunity,81.0
Paulding County,Opportunity,85.8
Peach County,Opportunity,62.1
Pickens County,Opportunity,82.6
Pierce County,Opportunity,73.3
Pike County,Opportunity,89.1
Polk County,Opportunity,67.4
Pulaski County,Opportunity,64.3
Putnam County,Opportunity,62.6
Quitman County,Opportunity,78.6
Rabun County,Opportunity,62.5
Randolph County,Opportunity,27.3
Richmond County,Opportunity,46.9
Rockdale County,Opportunity,65.4
Schley County,Opportunity,64.8
Screven County,Opportunity,69.0
Seminole County,Opportunity,41.6
Spalding County,Opportunity,60.5
Stephens County,Opportunity,75.8
Stewart County,Opportunity,43.1
Sumter County,Opportunity,55.6
Talbot County,Opportunity,67.3
Taliaferro County,Opportunity,48.0
Tattnall County,Opportunity,77.4
Taylor County,Opportunity,27.2
Telfair County,Opportunity,56.4
Terrell County,Opportunity,34.1
Thomas County,Opportunity,67.0
Tift County,Opportunity,58.8
Toombs County,Opportunity,59.7
Towns County,Opportunity,75.6
Treutlen County,Opportunity,31.4
Troup County,Opportunity,55.4
Turner County,Opportunity,35.3
Twiggs County,Opportunity,70.2
Union County,Opportunity,76.7
Upson County,Opportunity,64.5
Walker County,Opportunity,71.3
Walton County,Opportunity,76.8
Ware County,Opportunity,57.9
Warren County,Opportunity,63.7
Washington County,Opportunity,58.2
Wayne County,Opportunity,76.3
Webster County,Opportunity,34.0
Wheeler County,Opportunity,58.6
White County,Opportunity,88.7
Whitfield County,Opportunity,77.0
Wilcox County,Opportunity,63.1
Wilkes County,Opportunity,40.6
Wilkinson County,Opportunity,56.1
Worth County,Opportunity,65.5
